,tractvec
1330,10303
1331,40505
1332,203
1333,40501
1334,40504
1335,801
1336,901
1337,40509
1338,40509
1339,40505
1340,802
1341,40509
1342,400
1343,1003
1344,40509
1345,501
1346,40509
1347,901
1348,904
1349,40505
1350,901
1351,10308
1352,1003
1353,40501
1354,901
1355,100
1356,501
1357,40505
1358,801
1359,802
1360,10307
1361,40506
1362,10303
1363,40509
1364,602
1365,40509
1366,901
1367,1003
1368,400
1369,40509
1370,40509
1371,204
1372,40504
1373,40501
1374,40509
1375,801
1376,601
1377,10306
1378,100
1379,40505
1380,300
1381,903
1382,10303
1383,601
1384,40509
1385,40505
1386,40504
1387,40505
1388,40505
1389,40509
1390,1004
1391,40505
1392,40501
1393,40509
1394,10306
1395,501
1396,801
1397,40504
1398,901
1399,100
1400,40506
1401,40506
1402,40506
1403,203
1404,40505
1405,904
1406,904
1407,100
1408,40501
1409,40509
1410,10303
1411,10109
1412,601
1413,10303
1414,801
1415,40509
1416,40509
1417,10109
1418,904
1419,40505
1420,40501
1421,40509
1422,10109
1423,10308
1424,40504
1425,10308
1426,901
1427,40509
1428,1004
1429,10303
1430,40501
1431,802
1432,501
1433,100
1434,10303
1435,40509
1436,40509
1437,903
1438,40509
1439,802
1440,40505
1441,1004
1442,602
1443,1003
1444,203
1445,10308
1446,501
1447,10111
1448,204
1449,40504
1450,10306
1451,1003
1452,40506
1453,1004
1454,204
1455,40504
1456,10308
1457,1003
1458,40501
1459,40505
1460,10303
1461,40504
1462,100
1463,40506
1464,802
1465,40509
1466,100
1467,40506
1468,40506
1469,40501
1470,501
1471,400
1472,802
1473,10308
1474,40505
1475,10306
1476,1003
1477,40504
1478,10111
1479,40504
1480,40501
1481,1004
1482,40506
1483,40509
1484,10303
1485,1003
1486,40505
1487,802
1488,40501
1489,601
1490,1003
1491,1004
1492,901
1493,40504
1494,10111
1495,801
1496,10303
1497,400
1498,40501
1499,1003
1500,904
1501,1004
1502,501
1503,40504
1504,10307
1505,40506
1506,10111
1507,40505
1508,40506
1509,10306
1510,802
1511,802
1512,40509
1513,40501
1514,10303
1515,40509
1516,40505
1517,40504
1518,901
1519,40506
1520,802
1521,40504
1522,10109
1523,802
1524,40501
1525,40700
1526,40509
1527,40509
1528,901
1529,40505
1530,10109
1531,901
1532,10307
1533,10111
1534,100
1535,901
1536,904
1537,40504
1538,904
1539,501
1540,40506
1541,40509
1542,901
1543,802
1544,904
1545,40509
1546,802
1547,10303
1548,1003
1549,1004
1550,10307
1551,904
1552,204
1553,802
1554,400
1555,802
1556,40506
1557,40800
1558,400
1559,1003
1560,100
1561,802
1562,40501
1563,40509
1564,40505
1565,40509
1566,40509
1567,400
1568,40509
1569,601
1570,40505
1571,40504
1572,802
1573,10307
1574,100
1575,10307
1576,10303
1577,802
1578,100
1579,400
1580,100
1581,40506
1582,1004
1583,40509
1584,10306
1585,40509
1586,40505
1587,40509
1588,40509
1589,100
1590,40509
1591,40501
1592,801
1593,40506
1594,40700
1595,40504
1596,40505
1597,10308
1598,40700
1599,501
1600,904
1601,40504
1602,40700
1603,40501
1604,40509
1605,802
1606,802
1607,901
1608,40509
1609,10303
1610,801
1611,40501
1612,40506
1613,40509
1614,1003
1615,100
1616,10303
1617,40509
1618,40509
1619,40509
1620,400
1621,10303
1622,40509
1623,204
1624,40509
1625,904
1626,802
1627,40506
1628,40505
1629,801
1630,501
1631,1004
1632,40509
1633,10308
1634,40506
1635,1004
1636,40505
1637,501
1638,40509
1639,40800
1640,40505
1641,901
1642,601
1643,100
1644,40509
1645,1004
1646,1004
1647,400
1648,801
1649,40505
1650,501
1651,40506
1652,904
1653,400
1654,10109
1655,10111
1656,501
1657,40505
1658,1004
1659,40504
1660,40506
1661,400
1662,904
1663,40501
1664,40509
1665,1003
1666,40506
1667,40501
1668,904
1669,1003
1670,40509
1671,801
1672,400
1673,40505
1674,1004
1675,40505
1676,1003
1677,40504
1678,801
1679,40504
1680,501
1681,300
1682,40504
1683,904
1684,40509
1685,602
1686,400
1687,40509
1688,10303
1689,40509
1690,100
1691,40504
1692,40506
1693,10303
1694,40504
1695,40501
1696,501
1697,801
1698,40505
1699,40504
1700,40509
1701,100
1702,40504
1703,40506
1704,40509
1705,904
1706,100
1707,904
1708,400
1709,40509
1710,802
1711,40506
1712,10308
1713,40505
1714,10303
1715,602
1716,40505
1717,40504
1718,40509
1719,40505
1720,40506
1721,502
1722,40505
1723,40505
1724,40505
1725,1003
1726,40504
1727,40501
1728,40504
1729,901
1730,802
1731,10307
1732,10303
1733,203
1734,40501
1735,501
1736,40509
1737,601
1738,903
1739,100
1740,602
1741,300
1742,40509
1743,203
1744,802
1745,602
1746,501
1747,40506
1748,10308
1749,203
1750,901
1751,802
1752,40505
1753,40501
1754,802
1755,40509
1756,602
1757,40509
1758,501
1759,40506
1760,501
1761,100
1762,901
1763,901
1764,10303
1765,40506
1766,1004
1767,40501
1768,203
1769,904
1770,10307
1771,904
1772,10308
1773,40501
1774,100
1775,204
1776,40504
1777,40506
1778,10109
1779,400
1780,400
1781,40505
1782,40505
1783,501
1784,1003
1785,1004
1786,40505
1787,10308
1788,10303
1789,40501
1790,602
1791,40501
1792,40501
1793,40506
1794,100
1795,40506
1796,904
1797,40509
1798,1003
1799,10308
1800,40506
1801,40506
1802,1004
1803,802
1804,1003
1805,40501
1806,801
1807,40504
1808,10306
1809,10303
1810,40504
1811,40504
1812,400
1813,1003
1814,1004
1815,1003
1816,40506
1817,204
1818,904
1819,501
1820,204
1821,40506
1822,10109
1823,602
1824,204
1825,400
1826,40504
1827,10303
1828,602
1829,802
1830,802
1831,901
1832,40505
1833,40505
1834,40501
1835,501
1836,10308
1837,1004
1838,10303
1839,100
1840,203
1841,10303
1842,40506
1843,204
1844,40501
1845,40505
1846,40506
1847,10308
1848,203
1849,10303
1850,801
1851,40505
1852,40509
1853,40509
1854,802
1855,40505
1856,40501
1857,40509
1858,204
1859,10306
1860,100
1861,10303
1862,904
1863,40505
1864,40505
1865,400
1866,204
1867,903
1868,40509
1869,400
1870,802
1871,40505
1872,40504
1873,40509
1874,901
1875,100
1876,40509
1877,40509
1878,901
1879,1004
1880,204
1881,802
1882,40501
1883,100
1884,801
1885,40509
1886,1003
1887,400
1888,10307
1889,1003
1890,203
1891,10306
1892,40505
1893,10307
1894,10307
1895,400
1896,40504
1897,40504
1898,300
1899,40504
1900,40505
1901,40509
1902,601
1903,601
1904,204
1905,802
1906,100
1907,40505
1908,40509
1909,40505
1910,40505
1911,901
1912,40501
1913,100
1914,40506
1915,1003
1916,40509
1917,100
1918,10109
1919,10308
1920,100
1921,1003
1922,40509
1923,901
1924,802
1925,100
1926,40509
1927,100
1928,501
1929,10303
1930,10303
1931,801
1932,40509
1933,901
1934,502
1935,602
1936,602
1937,501
1938,1004
1939,501
1940,40505
1941,40509
1942,10306
1943,40501
1944,40501
1945,901
1946,40509
1947,100
1948,203
1949,802
1950,903
1951,40501
1952,602
1953,203
1954,40501
1955,1003
1956,10111
1957,40509
1958,802
1959,602
1960,802
1961,10307
1962,1003
1963,40700
1964,10306
1965,40506
1966,10307
1967,40700
1968,1003
1969,802
1970,10303
1971,40505
1972,40509
1973,10303
1974,802
1975,204
1976,10303
1977,10306
1978,100
1979,502
1980,400
1981,40509
1982,40504
1983,40509
1984,400
1985,901
1986,801
1987,901
1988,501
1989,40507
1990,40504
1991,40505
1992,40506
1993,100
1994,801
1995,901
1996,10111
1997,40506
1998,10307
1999,10109
2000,801
2001,602
2002,10306
2003,40506
2004,400
2005,601
2006,40505
2007,40506
2008,501
2009,40506
2010,501
2011,100
2012,901
2013,1004
2014,802
2015,602
2016,40509
2017,40509
2018,40509
2019,10306
2020,10306
2021,901
2022,203
2023,40501
2024,40509
2025,801
2026,40505
2027,204
2028,10306
2029,10303
2030,602
2031,10303
2032,40505
2033,10303
2034,100
2035,802
2036,40700
2037,802
2038,40507
2039,40506
2040,10308
2041,501
2042,10307
2043,40509
2044,904
2045,100
2046,1003
2047,10308
2048,10308
2049,700
2050,40509
2051,204
2052,203
2053,40509
2054,40509
2055,40509
2056,904
2057,10306
2058,40505
2059,40509
2060,40509
2061,40509
2062,903
2063,203
2064,40501
2065,40509
2066,40505
2067,1003
2068,602
2069,40509
2070,40509
2071,40501
2072,40509
2073,903
2074,40509
2075,40501
2076,40509
2077,904
2078,100
2079,40504
2080,40501
2081,300
2082,801
2083,903
2084,40505
2085,204
2086,904
2087,802
2088,1004
2089,40505
2090,904
2091,400
2092,10109
2093,40505
2094,40505
2095,40505
2096,40505
2097,100
2098,40509
2099,40509
2100,40506
2101,40509
2102,40509
2103,40501
2104,40509
2105,10308
2106,502
2107,40509
2108,40509
2109,40506
2110,40505
2111,40509
2112,40509
2113,100
2114,40504
2115,40505
2116,903
2117,40509
2118,204
2119,10307
2120,801
2121,40509
2122,40509
2123,502
2124,1003
2125,40505
2126,40501
2127,40509
2128,601
2129,1003
2130,40509
2131,901
2132,40509
2133,40509
2134,40509
2135,40509
2136,40505
2137,10306
2138,40509
2139,40509
2140,40501
2141,40509
2142,10303
2143,40504
2144,40504
2145,801
2146,40509
2147,802
2148,40505
2149,40506
2150,10303
2151,300
2152,1003
2153,10306
2154,400
2155,10109
2156,901
2157,10308
2158,601
2159,40505
2160,10109
2161,40509
2162,904
2163,40509
2164,40506
2165,40509
2166,1003
2167,10308
2168,501
2169,40700
2170,10307
2171,204
2172,501
2173,501
2174,502
2175,400
2176,40506
2177,40509
2178,10111
2179,903
2180,40509
2181,40505
2182,40501
2183,40509
2184,501
2185,40509
2186,40506
2187,40506
2188,904
2189,40509
2190,602
2191,40509
2192,700
2193,10307
2194,100
2195,10308
2196,40509
2197,40509
2198,40509
2199,400
2200,40509
2201,100
2202,10308
2203,10308
2204,802
2205,204
2206,10303
2207,100
2208,400
2209,40501
2210,10306
2211,40506
2212,802
2213,40509
2214,40509
2215,903
2216,802
2217,40509
2218,40506
2219,901
2220,400
2221,502
2222,602
2223,40506
2224,904
2225,203
2226,40501
2227,40501
2228,40505
2229,40509
2230,40505
2231,40505
2232,802
